DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,LOCATION,Cross Street,LAT,LON,Day of Week,Amount,Damage
2022-03-21,1510,5,Harbor,761,BRANDISH WEAPON,13,M,H,102.0,SIDEWALK,102.0,HAND GUN,700 W  13TH                         ST,NO CROSS STREET,33.7324,-118.2924,1,0.0,0
2022-02-25,2100,18,Southeast,510,VEHICLE - STOLEN,0,X,X,101.0,STREET,999.0,NO WEAPON,E  119TH,AVALON,33.9247,-118.2652,5,20000.0,1
2020-03-05,1845,1,Central,330,BURGLARY FROM VEHICLE,26,M,W,101.0,STREET,999.0,NO WEAPON,800 E  4TH                          ST,NO CROSS STREET,34.0433,-118.2377,4,2000.0,1
2021-10-25,1610,21,Topanga,624,BATTERY - SIMPLE ASSAULT,48,M,W,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",22900    VANOWEN                      ST,NO CROSS STREET,34.1937,-118.6255,1,0.0,0
2021-07-24,2215,18,Southeast,110,CRIMINAL HOMICIDE,20,F,B,102.0,SIDEWALK,102.0,HAND GUN,8700 S  SAN PEDRO                    ST,NO CROSS STREET,33.9591,-118.2695,6,0.0,0
2022-03-02,1435,10,West Valley,625,OTHER ASSAULT,41,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7200    AMIGO                        AV,NO CROSS STREET,34.2012,-118.5386,3,0.0,0
2023-05-06,300,1,Central,121,"RAPE, FORCIBLE",37,F,B,505.0,MOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",900 N  BROADWAY,NO CROSS STREET,34.0615,-118.2412,6,0.0,0
2020-06-16,1800,7,Wilshire,440,THEFT PLAIN - PETTY ($950 & UNDER),39,M,W,702.0,OFFICE BUILDING/OFFICE,999.0,NO WEAPON,5400    WILSHIRE                     BL,NO CROSS STREET,34.0623,-118.3462,2,950.0,1
2022-05-07,2200,15,N Hollywood,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),25,M,X,101.0,STREET,999.0,NO WEAPON,5000    WHITSETT                     AV,NO CROSS STREET,34.1638,-118.4087,6,20000.0,1
2023-01-02,815,5,Harbor,946,OTHER MISCELLANEOUS CRIME,0,X,X,203.0,OTHER BUSINESS,999.0,NO WEAPON,800    MACDONOUGH                   AV,NO CROSS STREET,33.7819,-118.2314,1,0.0,0
2020-08-14,1600,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,108.0,PARKING LOT,999.0,NO WEAPON,1700 N  MAIN                         ST,NO CROSS STREET,34.0672,-118.223,5,20000.0,1
2022-03-20,450,9,Van Nuys,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,406.0,OTHER STORE,999.0,NO WEAPON,14500    VICTORY                      BL,NO CROSS STREET,34.1903,-118.4574,7,900.0,1
2020-04-29,1000,9,Van Nuys,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),57,M,X,108.0,PARKING LOT,999.0,NO WEAPON,14200    VENTURA                      BL,NO CROSS STREET,34.1499,-118.4422,3,20000.0,1
2023-04-04,1915,1,Central,330,BURGLARY FROM VEHICLE,55,F,B,707.0,GARAGE/CARPORT,999.0,NO WEAPON,400 N  SPRING                       ST,NO CROSS STREET,34.0565,-118.2411,2,2000.0,1
2022-07-04,200,1,Central,761,BRANDISH WEAPON,59,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  LOS ANGELES                  ST,NO CROSS STREET,34.046,-118.2493,1,0.0,0
2023-05-04,2116,21,Topanga,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),35,M,X,404.0,DEPARTMENT STORE,999.0,NO WEAPON,20800    VENTURA                      BL,NO CROSS STREET,34.1665,-118.5859,4,20000.0,1
2022-10-01,625,17,Devonshire,662,"BUNCO, GRAND THEFT",23,M,X,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,10100    WOODLEY                      AV,NO CROSS STREET,34.2537,-118.4849,6,20000.0,1
2023-03-10,1400,9,Van Nuys,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",36,M,W,203.0,OTHER BUSINESS,999.0,NO WEAPON,14800    VENTURA                      BL,NO CROSS STREET,34.1547,-118.453,5,900.0,1
2022-12-27,1800,3,Southwest,624,BATTERY - SIMPLE ASSAULT,20,F,B,727.0,SHOPPING MALL (COMMON AREA),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3600    CRENSHAW                     BL,NO CROSS STREET,34.0164,-118.3312,2,0.0,0
2022-08-05,1700,8,West LA,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),32,F,W,101.0,STREET,999.0,NO WEAPON,2300    PELHAM                       AV,NO CROSS STREET,34.0444,-118.4254,5,20000.0,1
2021-04-10,1730,12,77th Street,210,ROBBERY,55,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,ESTRELLA,65TH                         ST,33.9806,-118.2849,6,10000.0,1
2022-04-17,850,18,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,37,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",10500 S  FIGUEROA                     ST,NO CROSS STREET,33.9367,-118.2871,7,0.0,0
